car_km_per_year,public_transport_km_per_year,flights_per_year,electricity_kwh_per_year,natural_gas_m3_per_year,renewable_energy_percentage,diet_type,meat_kg_per_year,waste_kg_per_year,recycling_rate,house_size_m2,num_people_household,carbon_footprint_kgCO2_per_year
15795,9917,6,1067,1526,18,vegetarian,49,475,75,181,4,9519.57
860,7574,8,4836,1877,76,non_vegetarian,39,154,46,162,2,8087.708
5390,1689,5,4993,1699,28,non_vegetarian,94,677,7,116,5,11279.228000000001
11964,3267,9,3506,1029,60,non_vegetarian,2,838,53,72,3,8328.297999999999
11284,4406,0,2537,499,69,vegan,16,125,8,164,1,4161.735000000001
6265,8453,6,1397,1684,78,vegetarian,60,540,2,83,4,8459.88
16850,1442,2,5715,716,79,non_vegetarian,49,864,53,80,2,8028.119000000001
4426,8597,4,4357,1141,23,vegan,89,296,20,127,1,7181.335
14423,4437,9,2163,1508,22,non_vegetarian,86,741,94,56,2,11618.048
11363,5435,3,5825,2648,9,non_vegetarian,5,342,47,154,5,11701.993
16023,8435,9,1555,665,53,vegan,27,923,46,27,4,8614.731000000002
8322,4107,4,4661,2515,40,vegetarian,71,823,87,97,4,10449.132
1685,560,4,2751,2208,48,vegetarian,54,289,67,87,5,7396.926
769,8785,5,3941,2317,16,vegetarian,57,901,83,40,2,9177.476
2433,5548,9,3657,1079,55,non_vegetarian,44,837,62,113,1,7755.333
5311,1826,9,3795,227,44,vegetarian,71,857,15,94,2,7189.81
5051,7629,5,3329,2896,29,vegetarian,18,667,73,176,1,10182.607
6420,8325,7,2959,148,43,non_vegetarian,28,666,89,172,5,5477.433000000001
17568,3138,7,2601,1069,73,vegetarian,22,375,92,161,3,8260.635
19769,7693,8,3793,1167,54,non_vegetarian,31,917,4,97,1,11966.416000000001
6396,8264,7,2480,631,18,vegan,9,508,10,85,4,6592.76
8666,7842,1,2102,1363,28,vegetarian,90,439,28,177,4,7641.964
18942,6721,9,4276,412,1,vegan,48,252,78,165,4,9674.062
18431,7002,0,2299,1755,35,vegetarian,64,664,69,73,2,9527.987000000001
2747,4225,9,5994,519,18,non_vegetarian,28,497,47,119,2,7736.328
189,2978,1,4879,1367,6,non_vegetarian,58,543,14,40,2,7870.394
19118,7373,1,2535,2434,25,vegetarian,44,722,83,72,4,11075.807
3005,5907,2,1077,2322,78,vegetarian,66,526,33,102,1,7684.1759999999995
1899,6097,9,3831,2400,37,vegan,50,586,59,163,4,9643.883000000002
